,date,hour_min_count,min_count,hour_max_count,max_count,hour_min_price,min_price,hour_max_price,max_price,uid,price,timestamp,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,count,time_zone,dow,hour,week,month,date_hour
0,2009-01-01,6,0,12,13,6,0.0,14,86.35,55072468,8.5,2009-01-01 01:15:22,-73.98191800000001,40.779456,-73.957685,40.771043,2,UTC,Thu,1,1,1,2009-01-01-01
1,2009-01-01,6,0,12,13,6,0.0,14,86.35,30813112,13.0,2009-01-01 01:59:17,-73.98375899999999,40.721389,-73.994833,40.687179,2,UTC,Thu,1,1,1,2009-01-01-01
2,2009-01-01,6,0,12,13,6,0.0,14,86.35,8688426,10.6,2009-01-01 02:05:03,-73.95663499999999,40.771254,-73.991528,40.749778000000006,2,UTC,Thu,2,1,1,2009-01-01-02
3,2009-01-01,6,0,12,13,6,0.0,14,86.35,13190369,12.2,2009-01-01 02:09:13,-73.984605,40.72802,-73.95574599999999,40.77683,1,UTC,Thu,2,1,1,2009-01-01-02
4,2009-01-01,6,0,12,13,6,0.0,14,86.35,45716268,11.0,2009-01-01 02:13:41,-73.980127,40.737425,-74.00954399999999,40.726025,4,UTC,Thu,2,1,1,2009-01-01-02
5,2009-01-01,6,0,12,13,6,0.0,14,86.35,3069086,5.0,2009-01-01 02:14:20,-73.986486,40.734734,-73.983508,40.730138,1,UTC,Thu,2,1,1,2009-01-01-02
6,2009-01-01,6,0,12,13,6,0.0,14,86.35,53841959,6.1,2009-01-01 02:46:31,-73.975759,40.749823,-73.982534,40.738737,1,UTC,Thu,2,1,1,2009-01-01-02
7,2009-01-01,6,0,12,13,6,0.0,14,86.35,28376911,17.8,2009-01-01 03:15:17,-73.954688,40.76579,-74.006881,40.705487,4,UTC,Thu,3,1,1,2009-01-01-03
8,2009-01-01,6,0,12,13,6,0.0,14,86.35,9603703,4.6,2009-01-01 04:04:08,-73.965825,40.754429,-73.972814,40.749124,2,UTC,Thu,4,1,1,2009-01-01-04
9,2009-01-01,6,0,12,13,6,0.0,14,86.35,22564567,7.8,2009-01-01 04:07:28,-73.990737,40.730586,-73.977891,40.751837,1,UTC,Thu,4,1,1,2009-01-01-04
10,2009-01-01,6,0,12,13,6,0.0,14,86.35,27054509,9.0,2009-01-01 04:30:00,-73.978139,40.729278,-73.992227,40.74873,1,UTC,Thu,4,1,1,2009-01-01-04
11,2009-01-01,6,0,12,13,6,0.0,14,86.35,40584371,17.8,2009-01-01 04:33:30,-73.93781800000001,40.812668,-73.975664,40.731143,1,UTC,Thu,4,1,1,2009-01-01-04
12,2009-01-01,6,0,12,13,6,0.0,14,86.35,38394720,14.2,2009-01-01 05:30:48,-74.002616,40.600037,-73.956645,40.609451,1,UTC,Thu,5,1,1,2009-01-01-05
13,2009-01-01,6,0,12,13,6,0.0,14,86.35,50042881,27.450000000000006,2009-01-01 10:11:29,-73.982014,40.777893,-73.885535,40.773202000000005,2,UTC,Thu,10,1,1,2009-01-01-10
14,2009-01-01,6,0,12,13,6,0.0,14,86.35,45824144,10.1,2009-01-01 10:35:00,-73.972288,40.761978000000006,-73.984402,40.72959,2,UTC,Thu,10,1,1,2009-01-01-10
15,2009-01-01,6,0,12,13,6,0.0,14,86.35,43237848,4.5,2009-01-01 11:46:00,-73.98844,40.740365,-73.986823,40.730197,1,UTC,Thu,11,1,1,2009-01-01-11
16,2009-01-01,6,0,12,13,6,0.0,14,86.35,38856182,9.3,2009-01-01 12:03:00,-73.96762199999999,40.80199,-73.94117800000001,40.788587,1,UTC,Thu,12,1,1,2009-01-01-12
17,2009-01-01,6,0,12,13,6,0.0,14,86.35,32965274,18.9,2009-01-01 12:12:00,-74.016672,40.70475,-73.972527,40.78106,2,UTC,Thu,12,1,1,2009-01-01-12
18,2009-01-01,6,0,12,13,6,0.0,14,86.35,25687629,3.7,2009-01-01 12:18:00,-74.008845,40.708023,-74.010642,40.711428000000005,1,UTC,Thu,12,1,1,2009-01-01-12
19,2009-01-01,6,0,12,13,6,0.0,14,86.35,52238368,9.3,2009-01-01 12:26:00,-73.94564799999999,40.801802,-73.97091999999999,40.76282,1,UTC,Thu,12,1,1,2009-01-01-12
20,2009-01-01,6,0,12,13,6,0.0,14,86.35,6885690,6.9,2009-01-01 12:33:40,-73.973905,40.764441,-73.956406,40.784593,1,UTC,Thu,12,1,1,2009-01-01-12
21,2009-01-01,6,0,12,13,6,0.0,14,86.35,12278226,10.5,2009-01-01 12:46:00,-73.96243,40.769807,-73.957583,40.75977,5,UTC,Thu,12,1,1,2009-01-01-12
22,2009-01-01,6,0,12,13,6,0.0,14,86.35,26452266,6.5,2009-01-01 12:49:05,-74.689571,45.031653000000006,-74.689603,45.031598,1,UTC,Thu,12,1,1,2009-01-01-12
23,2009-01-01,6,0,12,13,6,0.0,14,86.35,31267366,6.9,2009-01-01 12:58:00,-73.985128,40.723848,-73.991025,40.742053000000006,1,UTC,Thu,12,1,1,2009-01-01-12
24,2009-01-01,6,0,12,13,6,0.0,14,86.35,25576885,11.3,2009-01-01 13:09:00,-73.954605,40.769805,-73.965762,40.803558,1,UTC,Thu,13,1,1,2009-01-01-13
25,2009-01-01,6,0,12,13,6,0.0,14,86.35,6014336,17.7,2009-01-01 13:58:00,-73.98315699999999,40.757193,-73.913878,40.761218,2,UTC,Thu,13,1,1,2009-01-01-13
26,2009-01-01,6,0,12,13,6,0.0,14,86.35,31736649,10.1,2009-01-01 14:15:00,-73.982452,40.73144,-73.989248,40.764827,1,UTC,Thu,14,1,1,2009-01-01-14
